Player,Rk,Tm,VORPFit,Lwr,Upr,Notes
Leandro Barbosa,31,PHO,-0.2,-1.46,1.06,
Pascal Siakam,NA,TOR,-0.2,-1.6,1.56,
Ryan Hollins,203,FA,-0.21,-1.67,1.24,
Glenn Robinson,375,IND,-0.21,-1.47,1.04,
Anthony Brown,63,FA,-0.21,-1.55,1.13,
Doug McDermott,291,CHI,-0.22,-1.88,1.43,
Michael Beasley,43,MIL,-0.22,-1.78,1.34,
Steve Novak,331,MIL,-0.22,-1.68,1.23,
Shabazz Muhammad,319,MIN,-0.22,-1.89,1.46,
Damjan Rudez,383,ORL,-0.22,-1.89,1.44,
Malachi Richardson,NA,SAC,-0.22,-1.66,0.66,
Kelly Oubre,340,WAS,-0.22,-1.57,1.12,
Chris Kaman,243,FA,-0.23,-1.48,1.03,
Nazr Mohammed,308,FA,-0.23,-2.53,2.07,
Wade Baldwin,NA,MEM,-0.23,-1.39,0.83,
Malcolm Brogdon,NA,MIL,-0.23,-2.14,0.84,
Mo Williams,463,FA,-0.24,-1.5,1.02,
Tayshaun Prince,366,FA,-0.24,-1.32,0.85,
Marreese Speights,407,LAC,-0.24,-1.79,1.32,
Marco Belinelli,44,CHO,-0.25,-1.9,1.39,
Jason Smith,403,WAS,-0.25,-1.81,1.3,
Malik Beasley,NA,DEN,-0.26,-1.42,0.2,
